,,,中文翻譯,日文翻譯,捷克文翻譯,英文例句,日文例句,捷克文例句,中文翻譯
mental uses,creditive uses,idea,觀念、理念、想法、構想、點子、念頭,,,,,,
mental uses,creditive uses,view,看法、意見、觀點,見解、意見,názor,"The Inland Revenue have a perfect right to say, “Look, this is cosmetic,” but in this particular case, since John Birt Productions Ltd is a genuine vehicle, my own view would be that it has worked. (p.204) ",内国歳入庁は「これは化粧品だ」と言う権利があるが、この特殊なケースではJohn Birt Productions Ltd.が本物の車両であるため、私自身の見解としては、これはうまくいったと思う。,"Daňová správa má absolutní právo říci: „Podívej,  to je kosmetické,“ ale v tomto konkrétním případě, protože John Birt Productions Ltd je skutečným prostředkem, můj vlastní názor je, že to fungovalo. (str. 204)",稅務局完全有權說：「看，這就是化妝品。」但在這種特殊情況下，因為約翰比爾特舞台製作有限公司是個貨真價實的手段，我自己的看法是它已經奏效了。
mental uses,creditive uses,notion,觀念、看法,,,,,,
mental uses,creditive uses,line,做法、立場、看法,,,,,,
mental uses,creditive uses,opinion,意見、民意、輿論、認為、看法,,,,,,
mental uses,creditive uses,conviction,看法、深信,,,,,,
mental uses,creditive uses,experience,經驗、經歷,経験,zkušenost,"After nearly 60 years on this earth, 46 of them spent in the pleasurable pursuit of fish, my experience is that people who follow the field sports, particularly angling and particularly young anglers, are far less antisocial than those who never go near the countryside or its pursuits. (p.204)",この世に生を受けて60年近くになるが、そのうちの46年は魚を楽しむことに費やした。私の経験では、フィールドスポーツ、特に魚釣り、そして若い釣り人は、田舎やその楽しみに近づかない人に比べて、はるかに反社会性が少ないのである。,"Po téměř 60 letech na této zemi, 46 z nich strávených příjemným lovem ryb, mám zkušenost, že lidé, kteří provozují lovecké sporty, zejména rybáření a zvláště pak mladí rybáři, jsou mnohem méně asociální než ti, kteří nikdy nepřijdou do přírody nebo se o ni nezajímají. (str. 204)",我在地球上生活了將近 60 年後，其中有 46 年我是在愉快的捕魚中度過的。我的經驗是，從事野外運動的人，尤其是垂釣者以及年輕的垂釣者，與那些從不走進大自然的人相比，較不具有反社會人格。
mental uses,creditive uses,attitude,心態、態度、看法,,,,,,
mental uses,creditive uses,perception,觀念、看法,,,,,,
mental uses,creditive uses,philosophy,哲學,,,,,,
mental uses,creditive uses,instinct,本能、直覺,,,,,,
mental uses,creditive uses,faith,信任、信心,,,,,,
mental uses,creditive uses,awareness,意識,,,,,,
mental uses,creditive uses,thinking,思考、思想、想法、思維、觀念,,,,,,
mental uses,creditive uses,logic,邏輯,,,,,,
mental uses,creditive uses,stand,立場、觀點、態度,,,,,,
mental uses,creditive uses,perspective,角度、觀點、看法,,,,,,
mental uses,creditive uses,stance,觀點、立場,,,,,,
mental uses,creditive uses,sentiment,觀點、意見、看法,,,,,,
mental uses,creditive uses,obsession,困擾,,,,,,
mental uses,creditive uses,prejudice,成見、偏見,,,,,,
mental uses,creditive uses,viewpoint,角度、觀點、看法,,,,,,
mental uses,creditive uses,conception,觀點、概念、見解,,,,,,
mental uses,creditive uses,rationale,基本原理,,,,,,
mental uses,creditive uses,persuasion,說服,,,,,,
mental uses,creditive uses,ethos,價值觀、特質,,,,,,
mental uses,creditive uses,standpoint,觀點、立場,,,,,,
mental uses,creditive uses,preconception,成見、偏見,,,,,,
mental uses,creditive uses,presentiment,預感,,,,,,
mental uses,creditive uses,realisation,明白、意識到,認識,poznáni,"And in Baghdad, meanwhile, behind Saddam Hussein’s belligerent rhetoric may lie the realization that the time or manoeuvre and brinkmanship is now running out. (p.206)",一方、バグダッドでは、サダム・フセインの好戦的な言動の裏には、策略や瀬戸際外交の時間がなくなってきたという認識があるのかもしれない。,"A v Bagdádu může mezitím za agresivní rétorikou Saddáma Husajna ležet poznání, že čas na manévrování a riskantní politiku se nyní krátí. (str.206)",與此同時，在巴格達薩達姆・海珊好戰言論的背後原因可能是因為他意識到時間或策略和邊緣政策已經不多了。
mental uses,creditive uses,discovery,發現,,,,,,
mental uses,creditive uses,recognition,承認、認可,,,,,,
mental uses,creditive uses,analysis,分析,,,,,,
mental uses,creditive uses,interpretation,解釋、闡釋、理解,,,,,,
mental uses,creditive uses,lesson,教訓、經驗,教訓,pounačením,"...What we have witnessed in the past five years is massive retrenchment and refortification by the British in the occupied area,” he explained “The lesson is that when they rearm we improvise.” (p.207)",「この5年間で目の当たりにしたのは、イギリスが占領地で行った大規模な縮小・再編成だった」と説明し、「教訓は、彼らが再武装するとき、我々は即興で対応するということだ」と語った。,"... čeho jsme byli svědky za posledních pět let, je masivní omezování a refortifikace Britů v okupované oblasti, “vysvětlil.„ Pounačením je, že když se vyzbrojují, my improvizujeme. “ (str.207)",..我們在過去五年中目睹了英國人在殖民地大規模地進行縮減和加強防禦。」他解釋：「我們學到的教訓是當他們重新武裝時，我們就即興發揮。」
mental uses,creditive uses,reading,閱讀、解讀,,,,,,
mental uses,creditive uses,insight,洞察、見解,,,,,,
mental uses,creditive uses,consideration,考慮、斟酌,,,,,,
mental uses,creditive uses,reasoning,推理、推論、推斷,,,,,,
mental uses,creditive uses,reflection,反射,,,,,,
mental uses,creditive uses,inference,推斷、推論、推理,,,,,,
mental uses,creditive uses,equation,相等、等同,,,,,,
mental uses,creditive uses,diagnosis,診斷,,,,,,
mental uses,creditive uses,significance,重要性、特殊含義,,,,,,
mental uses,creditive uses,recollection,回憶、往事,,,,,,
mental uses,creditive uses,anticipation,期望、盼望,,,,,,
mental uses,creditive uses,appreciation,欣賞、感謝,,,,,,
mental uses,creditive uses,projection,預測、投射,,,,,,
mental uses,creditive uses,generalization,普遍,,,,,,
mental uses,creditive uses,reckoning,計算,,,,,,
mental uses,creditive uses,deduction,推斷、推論,,,,,,
mental uses,creditive uses,illusion,幻想、錯覺、假象、幻象,錯覚,iluze,But that was a scientific illusion built on evolutionary terminology. (p.208),しかし、それは進化論的な用語の上に築かれた特定な錯覚であった。,Ale to byla specifická iluze založená na evoluční terminologii. (str.208),但那是一種術語在演變時所產生的特殊幻覺。
mental uses,creditive uses,fantasy,幻想、奇幻、夢幻,,,,,,
mental uses,creditive uses,misconception,誤解,,,,,,
mental uses,creditive uses,fiction,小說、虛構,,,,,,
mental uses,creditive uses,fallacy,謬見、謬誤,,,,,,
mental uses,creditive uses,misapprehension,誤解、誤會,,,,,,
mental uses,creditive uses,deception,欺騙,,,,,,
mental uses,creditive uses,miscalculation,估錯、誤算,,,,,,
mental uses,creditive uses,misperception,誤解,,,,,,
mental uses,creditive uses,misjudgment,誤判,,,,,,
mental uses,creditive uses,delusion,幻想、錯覺,,,,,,
mental uses,dubitative uses,doubt,質疑、懷疑、無疑,,,,,,
mental uses,dubitative uses,question,問題,,,,,,
mental uses,dubitative uses,disbelief,懷疑、不相信,,,,,,
mental uses,volitional uses,aim,目的、針對、目標,目的、目標,cílem,"The Government’s aim is to make GP’s more financially accountable, in charge of their own budgets, as well as to extend the choice of the patient. Under this new scheme, family doctors are required to produce annual reports for their patients. (p.7)",政府の目的は、GPの財政的義務を高め、自らの予算を管理し、患者の選択の幅を広げることである。この新制度では、家庭医は患者のために年次報告書を作成することが義務付けられている。,"Cílem vlády je zvýšit finanční odpovědnost praktických lékařů, aby byli odpovědní za vlastní rozpočet, a také rozšířit výběr pro pacienty. V rámci tohoto nového režimu jsou praktičtí lékaři povinni vypracovávat výroční zprávy pro své pacienty. (str.7)",政府的目標是讓家醫科醫生在財務上能更加自主，並能負責自己的預算，擴大他們選擇患者的範圍。根據這項新計劃，家庭醫生必須為他們的病人製作年度報告。
mental uses,volitional uses,point,觀點、論點、想法、意見,,,,,,
mental uses,volitional uses,hope,希望、期望、期待、盼望、期許、寄望,期待,naději,"All three Baltic leaders have turned up for today’s meeting; not to participate, they say, but to observe, in the hope that they’ll also be able to hold joint talks with President Gorbachev..(p.211)",バルト三国の首脳は、ゴルバチョフ大統領との共同会見を期待して、今日の会議に参加するのではなく、見学に来たという。,"Všichni tři pobaltští vůdci se přihlásili na dnešní schůzku; říkají, že se jí nebudou účastnit, ale budou jakou přísedící v naději, že také budou moci vést společné rozhovory s prezidentem Gorbačovem. (str. 211)",三位波羅的海國家的領導人都出席了今天的會議。他們不是為了參與會議，而是要觀察，希望他們也能夠與蘇聯總統戈巴契夫舉行聯合會談。
mental uses,volitional uses,idea,觀念、理念、想法、構想、點子、念頭,考え、考え方,cílem,It’s now been over a month since Soviet president Mikhail Gorbachov cut off all oil and most natural gas supplies to Lithuania. The Kremlin’s idea is to bring the country to its knees for having declared independence from the Soviet Union. (p.211),ソ連のゴルバチョフ大統領がリトアニアへの石油と天然ガスのほとんどの供給を断ってから1カ月以上が経過した。ソ連からの独立を宣言したリトアニアを屈服させようというのがクレムリンの考えだ。,"Je to už více než měsíc, co sovětský prezident Michail Gorbachov přerušil veškeré dodávky ropy a většinu dodávak zemního plynu do Litvy. Cílem Kremlu je dostat zemi na kolena za to, že vyhlásila samostatnost na Sovětském svazu. (str.211)",蘇聯總統米哈伊爾・戈巴契夫切斷對立陶宛的石油和部分天然氣供應已經一個多月。克里姆林宮的想法是要摧毀這個國家，因爲它宣布脫離蘇聯獨立。
mental uses,volitional uses,interest,興趣、關注,,,,,,
mental uses,volitional uses,objective,目標、目的,,,,,,
mental uses,volitional uses,vision,遠見、眼光、遠景,ビジョン,vizí,But Wallyworld’s grandest vision is to make Alaska the linch-pin of a new global rail system. (p.210),しかし、Wallyworldの最も壮大なビジョンは、アラスカを世界の新しい鉄道システムの要にすることだ。,Největší vizí Wallyworlda je však udělat z Aljašky základnu nového globálního železničního systému. (str. 210),但 Wallyworld 最宏偉的願景是讓阿拉斯加成為全球新型鐵路系統的領頭羊
mental uses,volitional uses,object,目標、目的,,,,,,
mental uses,volitional uses,target,目標、對象,,,,,,
mental uses,volitional uses,ideal,理想、原則,,,,,,
mental uses,volitional uses,goal,目標、目的,目標,cílem,Walker’s next goal is to get into the Welsh squad for the Five Nations Championship in the New Year...(p.210),ウォーカーの次の目標は、新年に開催される5カ国対抗戦のウェールズ代表チームに入ることである。,Walkerovým dalším cílem je dostat se v novém roce do velšského týmu pro mistrovství pěti národů  ... (str. 210),Walker下一個目標是在新的一年進入威爾士隊參加五國錦標賽。
mental uses,volitional uses,ambition,企圖（心）、野心、志向,,,,,,
mental uses,volitional uses,plan,計畫、規劃、打算、方案,計画,plán,In Canada a plan to slaughter the largest buffalo herd in the world has triggered off an unprecedented revolt within a government branch charged with the protection of that country’s national park. (p.213),カナダでは、世界最大のバッファローの群れを殺戮する計画が、同国の国立公園の保護を担う政府機関で前例のない抵抗を引き起こしている。,Plán na zabití největšího stáda bizonů na světě rozpoutal v Kanadě bezprecedentní vzpouru ve vládním úřadě pověřeném ochranou národních parků této země. (str. 213),在加拿大，一項屠殺世界上最大水牛群的計畫，引起了一個負責保護國家公園的政府部門前所未有的反抗。
mental uses,volitional uses,idea,觀念、理念、想法、構想、點子、念頭,,,,,,
mental uses,volitional uses,decision,決定、決策、選擇,決断、決定,rozhodnutí,...it will change its previous decision that the NBA was not against the public...(p.214) ,NBAが公共の利益に反していなかったというこれまでの判断が変更されるだろう。,"... změní své předchozí rozhodnutí, že NBA nebyla proti veřejnosti ... (str.214)",...它將改變先前NBA 不會和大眾唱反調的決定
mental uses,volitional uses,policy,政策、決策,,,,,,
mental uses,volitional uses,programme,節目、計畫、方案,,,,,,
mental uses,volitional uses,line,做法、立場、看法,,,,,,
mental uses,volitional uses,scheme,陰謀、方案、計畫,,,,,,
mental uses,volitional uses,project,方案、計畫,,,,,,
mental uses,volitional uses,strategy,策略、策劃、戰略,,,,,,
mental uses,volitional uses,drive,決心,,,,,,
mental uses,volitional uses,principle,原理、原則、準則,,,,,,
mental uses,volitional uses,rule,規則、法則,規則、ルール,pravidlo,"...unusual meals, overeating and travel stress –they are all situations that can create a medley of problems for your digestive system and bring it to a virtual halt, while your internal clocks are spinning in confusion. A basic rule is to eat lightly; small portions of food can generally be better tolerated. (p.212)",いつもと違う食事、食べ過ぎ、旅のストレス......これらはすべて、消化器系にさまざまな問題を引き起こし、体内時計が混乱している間に事実上停止状態に陥る可能性がある。基本的なルールは、軽く食べることである。少量の食事であれば、一般的によく耐えられる。,"... neobvyklá jídla, přejídání a cestovní stres - to jsou všechny situace, které mohou vytvořit směsici problémů pro váš trávicí systém a fakticky jej zastavit, zatímco vaše vnitřní hodiny zmateně rotují. Základní pravidlo je jíst lehká  jídla; malé porce jídla lze obecně snášet lépe. (str. 212)",..不尋常的飲食、暴飲暴食和旅行壓力——這些情況都會導致消化系統產生一系列問題，甚至使其幾乎停止運轉，而生理時鐘處於混亂。一個基本的法則是清淡飲食；身體通常比較能接受少量的食物。
mental uses,volitional uses,attitude,心態、態度、看法,,,,,,
mental uses,volitional uses,brief,指示,,,,,,
mental uses,volitional uses,secret,秘密,,,,,,
mental uses,volitional uses,philosophy,哲學,,,,,,
mental uses,volitional uses,art,藝術、技巧,,,,,,
mental uses,volitional uses,tactic,策略、手法,,,,,,
mental uses,volitional uses,routine,慣例、常規,,,,,,
mental uses,volitional uses,rationale,基本原理,,,,,,
mental uses,volitional uses,motto,座右銘,,,,,,
mental uses,volitional uses,desire,慾望、渴望、心願,欲求、欲望,touha,"One knows he is in continual pain and that engages sympathy at once, but thereafter, it is his self-torturing desire to speak truthfully which is so admirable. (p.215)",彼が絶え間なく苦しんでいることを知っている人は、すぐに同情するが、その後、誠実に話したいという彼の自己拷問的な欲求はとても称賛に値する。,"Je známo, že má neustálé bolesti, které najednou projevuje soucit, ale poté je to jeho sebemučící touha mluvit pravdu, která je tak obdivuhodná. (str. 215)",有人知道他仍處在持續的痛苦中時會引起同情。但是此後他對於說實話那種自我折磨的渴望，令人非常欽佩。
mental uses,volitional uses,intention,意圖、打算,,,,,,
mental uses,volitional uses,concern,擔心、憂慮,,,,,,
mental uses,volitional uses,willingness,心甘情願,,,,,,
mental uses,volitional uses,hope,希望、期望、期待、盼望、期許、寄望,,,,,,
mental uses,volitional uses,intent,意圖、目的,,,,,,
mental uses,volitional uses,wish,希望、想、心願、願望、祝福、意願,,,,,,
mental uses,volitional uses,inclination,傾向、愛好、意圖,,,,,,
mental uses,volitional uses,yearning,渴望、期盼,,,,,,
mental uses,volitional uses,longing,渴望、嚮往、期望,,,,,,
mental uses,volitional uses,dream,夢、夢想,,,,,,
mental uses,volitional uses,refusal,拒絕、回絕,屈しない、拒否する,odmítnuti,"His approach to life and politics was no more popular than his yellow socks, and his refusal to kowtow to the prevailing political currents did not make him a popular figure with the Tory apparatchiks of the period. (p.218)",彼の人生や政治に対する考え方は、「黄色い靴下」ほど人気がなく、政治的な流れに屈しない姿勢は、当時のトーリー党の幹部たちの人気者にはならなかった。,Jeho přístup k životu a politice nebyl o nic populárnější než jeho žluté ponožky a jeho odmítnutí podvolit se převládajícím politickým proudům z něj neudělalo populární postavu dobových konzervativců. (str. 218),他對生活和政治的態度並不比他的黃襪子更受歡迎，他拒絕追隨時下的政治潮流也沒有使他成為當時最受歡迎的保守黨官員。
mental uses,volitional uses,reluctance,勉強、不情願、不願意,消極的、気が進まない,neochota,"...and commercial associations developed that did not act in New Zealand’s interest when circumstances changed. For example, much of the meat processing industry was controlled by British capital, and its reluctance to maintain investment and to diversify markets and products as rapidly as the dairy industry cannot be divorced from this relationship. (p.217)  ",状況が変わるとニュージーランドの利益のために行動しなくなった商業団体が発展した。例えば、食肉加工業界の多くは英国資本に支配されており、乳製品業界のように投資を維持し、市場や製品を急速に多様化することに消極的だったのは、この関係と切り離すことはできない。,"... a vyvinula se obchodní sdružení, která při změně situace nejednala v zájmu Nového Zélandu. Například velká část masného průmyslu byla ovládána britským kapitálem a jeho neochota udržovat investice a diverzifikovat trhy a produkty tak rychle jako mléčný průmysl nemůže být oddělena od tohoto vztahu. (str.217)",當情況改變時，商業協會那樣發展並不能給紐西蘭帶來什麼利益。舉例來說：大多肉品加工業是由英國首都控制的，它不願意持續投資、像畜牧業那樣多樣化市場及產品，這種情況和他們彼此間的關聯脫不了關係。
mental uses,volitional uses,disinclination,厭惡、不情願,,,,,,
mental uses,volitional uses,unwillingness,不情願,,,,,,
mental uses,volitional uses,idea,觀念、理念、想法、構想、點子、念頭,,,,,,
mental uses,volitional uses,purpose,意圖、目的,目的,účelem,"The purpose of this leaflet, the enclosed Forecast Sheets and Year-End Checklist is to provide you with the relevant business planning tools to help you secure the many benefits that on-going planning can provide. (p.219)",この冊子、同封の予測シート、および年末チェックリストの目的は、継続的な計画によって得られる多くの利点を確保するための関連する事業計画ツールを提供することである。,"Účelem této příbalové informace, přiložených Předpovědních listů a Kontrolního seznamu - konec roku, je poskytnout příslušné nástroje pro plánování podnikání, které vám pomohou zajistit mnoho výhod, které vám  průběžné plánování může poskytnout. (str. 219)",這個傳單、內附的預測表以及年終檢查清單目的在於提供你相關的企業規劃工作，來幫助你保障持續規劃所能提供的許多好處。
mental uses,volitional uses,function,功能、用途,役割、機能,funkci,the most important of function of the first aider is to ensure that the casualty’s air passages remain open. (p.219)  ,救急隊員の最も重要な役割は、負傷者の空気の通り道を確保することである。,"nejdůležitější funkcí záchranáře při první pomoci je zajistit, aby dýchací cesty postiženého zůstaly průchodné. (str. 219)",急救人員最重要的職責是確保傷患的呼吸道保持暢通。
mental uses,volitional uses,solution,解決方法,解決策,řešení,"Once again the Government has decided to do something about underage sex. This time, rather than brandishing condoms in the classroom or publishing an explicit sex guide for teenagers, it is suggesting the solution is to turn teachers into classroom’s spies. (p.220)",政府はまたしても、未成年者の性行為を何とかしようと決めた。今回は、教室でコンドームを掲げたり、ティーンエイジャー向けの露骨なセックスガイドを出版するのではなく、教師を教室のスパイにするという解決策を提案している。,"Vláda se znovu rozhodla něco udělat se  sexem nezletilých. Tentokrát namísto ukazování kondomů ve třídě nebo publikování explicitního sexuálního průvodce pro teenagery navrhuje řešení, které z učitele dělá vyzvědače ve třídě. (str. 220)",政府再次決定要對未成年性行為採取行動。這次，政府沒在教室揮舞著保險套，也沒有提供青少年明確的性指南。政府建議的解決方法是把老師變成教室裡的間諜。
mental uses,volitional uses,key,調、主音、圖例,,,,,,
mental uses,volitional uses,remedy,療法、治療,,,,,,
mental uses,volitional uses,cure,療法、解決方法,,,,,,
mental uses,volitional uses,motivation,動機,動機,motivací,He said Mr Baker’s prime motivation was “to make headlines rather than find solutions”...(p.221),ベイカー氏の最大の動機は、「解決策を見つけることよりも、見出しをつけること」だったと述べている。,"Řekl, že hlavní motivací Bakera bylo „dělat titulky spíše než hledat řešení“ ... (str.221)",他說，貝克先生主要動機是要「製造新聞頭條，而不是尋找解決方案。」
mental uses,volitional uses,incentive,激勵、鼓勵,,,,,,
mental uses,volitional uses,urge,衝動、慾望,,,,,,
mental uses,volitional uses,temptation,引誘、誘惑,,,,,,
mental uses,volitional uses,impulse,衝動、動機,,,,,,
mental uses,volitional uses,compulsion,衝動、慾望、強制,,,,,,
mental uses,volitional uses,motivation,動機,,,,,,
mental uses,volitional uses,inspiration,靈感、鼓舞,,,,,,
mental uses,volitional uses,motive,動機、緣由、目的,,,,,,
mental uses,volitional uses,inducement,引誘、誘因,,,,,,
mental uses,volitional uses,preoccupation,想法、入神,,,,,,
mental uses,volitional uses,vocation,職業、使命感,,,,,,
mental uses,volitional uses,determination,決心、毅力、決定,決意、決断,odhodlání,His determination to oust Dr Mahathir and stop him winning his third consecutive term in office is matched only by the Prime Minister’s mission to annihilate the opposition once and for all. (p.222),マハティール氏を追放し、3期連続の政権獲得を阻止しようとする彼の決意は、野党を完全に消滅させるという首相の使命感に匹敵する。,Jeho odhodlání zbavit úřadu doktora Mahathira a zabránit mu vyhrát jeho třetí po sobě jdoucí funkční období se vyrovná pouze s misí předsedy vlády zničit opozici jednou provždy. (str. 222),他想要趕走馬哈迪醫師並且阻止他連任第三次馬來西亞首相的決心，只有首相要徹底的消滅反對派的決心能與之相比。
mental uses,volitional uses,courage,勇氣、勇敢,,,,,,
mental uses,volitional uses,confidence,自信、信心,,,,,,
mental uses,volitional uses,strength,體力、力氣、力量,,,,,,
mental uses,volitional uses,readiness,願意、樂意,,,,,,
mental uses,volitional uses,energy,精力、活力,,,,,,
mental uses,volitional uses,resolution,決心、決定,,,,,,
mental uses,volitional uses,heart,中心、中央,,,,,,
mental uses,volitional uses,nerve,勇氣、膽量,,,,,,
mental uses,volitional uses,anxiety,焦慮、不安、擔心,,,,,,
mental uses,volitional uses,eagerness,渴望,,,,,,
mental uses,volitional uses,resolve,決心,,,,,,
mental uses,volitional uses,flexibility,靈活性,,,,,,
mental uses,volitional uses,resistance,抵抗、反抗,,,,,,
mental uses,volitional uses,passion,熱情、激情,,,,,,
mental uses,volitional uses,motivation,動機,,,,,,
mental uses,volitional uses,temerity,魯莽、冒失,,,,,,
mental uses,volitional uses,wit,幽默風趣,,,,,,
mental uses,volitional uses,cheek,臉頰、放肆,,,,,,
mental uses,volitional uses,decency,正派、正直,,,,,,
mental uses,volitional uses,foresight,遠見,,,,,,
mental uses,volitional uses,gall,無恥、膽敢,ずうずうしさ,drzost,"James Patrick even had the gall to ask about the existence of a will; bold as brass, as if he had the right to know. (p.223)",ジェームズ・パトリックには、遺書の存在について尋ねるといったずうずうしささえあった。まるで彼には知る権利があるかのように、真ちゅうのように出しゃばる。,"James Patrick měl dokonce tu drzost se zeptat na existenci závěti; odvážně beze strachu, jako by měl právo to vědět. (str. 223)",詹姆士・派崔克甚至膽敢詢問有沒有遺囑，如此的厚臉皮，彷彿他有權知道一樣。
mental uses,volitional uses,impetus,推動、促進、刺激,,,,,,
mental uses,volitional uses,audacity,大膽、勇氣,,,,,,
mental uses,volitional uses,stamina,耐性,,,,,,
mental uses,volitional uses,grace,風度,優雅さ,slušnost,"Heseltine had the grace, or the political nouns, to admit that he was shocked by the reaction of Middle England. (p.223)",ヘセルタインは、イギリス中西部の反応にショックを受けたことを認める優雅さ、あるいは政治的名詞を持っていた。,"Heseltine měl tu slušnost, přiznat, že byl šokován reakcí střední Anglie.p.223)",夏舜霆（Heseltine）有風度，或是懂得政治詞彙，來承認他被英國中產階級的反應給嚇到了。
mental uses,volitional uses,zeal,熱忱、熱情、激情,,,,,,
mental uses,volitional uses,keenness,敏銳,,,,,,
mental uses,volitional uses,willpower,意志力、毅力,,,,,,
mental uses,volitional uses,courtesy,禮貌、禮節,,,,,,
mental uses,volitional uses,effrontery,放肆、無恥,,,,,,
mental uses,volitional uses,nous,判斷、常識,,,,,,
mental uses,volitional uses,gumption,勇氣、魄力,,,,,,
mental uses,volitional uses,agreement,協議、協定、合約,合意、契約,dohoda,"It is a great help if you can couple a membership with a COVENANT, which is an agreement to pay the Association an amount of annually for at least 4 years. (p.224)",会員とCOVENANT（最低4年間、毎年一定額を協会に支払うという契約）がセットになっていれば、大きな助けになる。,"Bude velkou pomocí, pokud můžete spojit členství s COVENANTEM, což je dohoda o placení Sdružení roční částky po dobu nejméně 4 let. (str. 224)",如果你能用一個契約來約束會員資格，也就是協議每年向協會支付一定金額長達四年以上，那就幫上大忙了。
mental uses,volitional uses,deal,協議、交易,,,,,,
mental uses,volitional uses,consensus,共識,意見、コンセンサス,shoda,"He wouldn’t perform at Axl Rose’s thirtieth-birthday bash and turned down a spot on this summer’s Metallica-Guns N’’ Roses tour. Still and all, “ the general consensus is that Nirvana should quit,” says Bjelland. (p.225)",彼はアクセル・ローズの30歳の誕生日パーティーで演奏することもなく、この夏のメタリカ-ガンズ・アンド・ローゼズ・ツアーへの参加も断った。この夏の Metallica-Guns N’’ Rosesのツアーにも参加しない。それでも、「ニルヴァーナはやめるべきだというのが一般的な意見だ」とビェランドは言う。,"Nechtěl vystoupit na oslavě třicátých narozenin Axla Rose a odmítnul místo na letním turné Metallica-Guns N ‘‘ Roses. Přesto je „všeobecná shoda v tom, že Nirvana by měla přestat,“ říká Bjelland. (str. 225)",他不會在埃克索爾・羅斯（Axl Rose）的三十歲生日派對上表演，並且拒絕參與今年夏天的金屬槍與玫瑰（Metallica-Guns N'' Roses）巡演。畢竟「普遍的共識是超脫樂團（Nirvana）應該要退出。」比爾蘭德（Bjelland）表示。
mental uses,volitional uses,arrangement,安排、籌劃,,,,,,
mental uses,volitional uses,appointment,預定、約定,,,,,,
mental uses,volitional uses,compromise,妥協、和解、折衷,,,,,,
mental uses,volitional uses,pact,契約、協調、協議,,,,,,
mental uses,volitional uses,bargain,協議、交易,,,,,,
mental uses,volitional uses,contract,契約、合同,契約,smlouvu,Mr Qin has signed a contract to rent the stretch of pavement from Peking municipality at about 70p per square metre a month. (p.225),秦氏は、北京市からこの一帯の舗道を月に1平方メートルあたり約70ペンスで借りる契約を結んだ。,Pan Qin podepsal smlouvu na pronájem úseku chodníku od pekinské samosprávy za přibližně 70 pencí měsíčně za metr čtvereční. (str. 225),秦先生已經簽署了契約，以每平方公尺70人民幣的價錢，向北京市政府租用這段人行道。
mental uses,emotive uses,surprise,驚訝、詫異,,,,,,
mental uses,emotive uses,relief,寬為、寬心、解脫、如釋重負,安心だ、安堵する,úlevu,President Bush has already been in contact with Mr Major and Americans are expressing relief that a quick transition has been achieved with no dramatic change on Gulf policy expected. (p.226),ブッシュ大統領はすでに少佐と接触しており、アメリカ人は、湾岸政策に劇的な変化がないことが予想される中、迅速な移行が達成されたことに安堵している。,"Prezident Bush již byl v kontaktu s  Majorem a Američané vyjadřují úlevu nad tím, že bylo dosaženo rychlého přechodu a neočekávají se dramatické změny v politickém přístupu pro oblast Perského zálivu. (str. 226)",布希總統已經和梅傑先生有所接觸，過渡期很快地就過去，且對波斯灣政策沒有重大改變，對此許多美國人感到如釋重負。
mental uses,emotive uses,pleasure,愉快、歡樂、欣慰,,,,,,
mental uses,emotive uses,shock,震驚,,,,,,
mental uses,emotive uses,regret,懊悔、惋惜、遺憾,遺憾、心残り,,Giles smiled to himself. His one regret was that Clare had not been on hand to witness his newly-honed technique. (p.227),彼は自分自身に微笑んだ。彼の唯一の心残りは、クレアが彼の新しい技術を目の当たりにすることができなかったことだ。,"Giles se pro sebe usmál. Litoval, že Clare nebyla po ruce, aby byla svědkem jeho nově zdokonalené techniky. (str. 227)",賈爾斯（Giles）對了他微笑。他有個遺憾就是克萊爾沒在現場見證到他新磨練好的技術。
mental uses,emotive uses,pain,痛、痛苦,,,,,,
mental uses,emotive uses,disappointment,失望、沮喪,,,,,,
mental uses,emotive uses,delight,滿足、欣喜,,,,,,
mental uses,emotive uses,anger,憤怒、怒火,,,,,,
mental uses,emotive uses,satisfaction,滿意、滿足,,,,,,
mental uses,emotive uses,guilt,內疚、愧疚、自責,,,,,,
mental uses,emotive uses,joy,高興、喜悅,,,,,,
mental uses,emotive uses,frustration,沮喪,,,,,,
mental uses,emotive uses,resentment,怨恨,,,,,,
mental uses,emotive uses,happiness,幸福、快樂,,,,,,
mental uses,emotive uses,sadness,悲傷,,,,,,
mental uses,emotive uses,terror,恐懼,,,,,,
mental uses,emotive uses,rage,狂怒、暴怒,,,,,,
mental uses,emotive uses,astonishment,驚訝、詫異,,,,,,
mental uses,emotive uses,irritation,激怒、惱怒,,,,,,
mental uses,emotive uses,grief,悲傷、悲痛,,,,,,
mental uses,emotive uses,bitterness,憤怒、怨恨,,,,,,
mental uses,emotive uses,amazement,驚奇、吃驚,,,,,,
mental uses,emotive uses,fury,暴怒、狂怒,,,,,,
mental uses,emotive uses,sorrow,悲痛、傷心、不幸,,,,,,
mental uses,emotive uses,gratitude,感激、感謝,,,,,,
mental uses,emotive uses,annoyance,煩惱,,,,,,
mental uses,emotive uses,thrill,興奮、激動,,,,,,
mental uses,emotive uses,disgust,厭惡、反感、憎惡,,,,,,
mental uses,emotive uses,indignation,憤怒、憤慨,,,,,,
mental uses,emotive uses,grudge,怨恨、勉強,,,,,,
mental uses,emotive uses,pride,自豪、得意、驕傲,,,,,,
